number of cameras: 16 ,number of points: 6 ,number of observations: 52, method: LM
camera id = 8, point id = 5, error_u = 1.843823, error_v = 3.336204
camera id = 9, point id = 5, error_u = -6.203780, error_v = -0.442732
camera id = 10, point id = 5, error_u = -2.638163, error_v = -1.917567
camera id = 13, point id = 5, error_u = 2.035042, error_v = 0.633702
camera id = 15, point id = 5, error_u = 0.323972, error_v = 0.362358
successful step! iteration = 60, error before = 292.852607, error next = 291.853432, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.523546, error_v = 0.730219
camera id = 1, point id = 0, error_u = -2.318533, error_v = 1.629612
camera id = 2, point id = 0, error_u = 1.137654, error_v = 2.897186
camera id = 7, point id = 0, error_u = 4.300947, error_v = 5.613554
camera id = 12, point id = 0, error_u = 2.103461, error_v = 1.281483
camera id = 13, point id = 0, error_u = -0.273545, error_v = 0.846933
camera id = 0, point id = 1, error_u = -0.075149, error_v = 0.310685
camera id = 1, point id = 1, error_u = -2.394176, error_v = 0.407771
camera id = 10, point id = 1, error_u = -5.979744, error_v = -1.086112
camera id = 0, point id = 2, error_u = -0.320772, error_v = -0.309079
camera id = 1, point id = 2, error_u = 0.566262, error_v = 0.663837
camera id = 2, point id = 2, error_u = 1.668862, error_v = 1.079748
camera id = 6, point id = 2, error_u = 0.331591, error_v = -0.796384
camera id = 7, point id = 2, error_u = 2.634001, error_v = -0.942275
camera id = 9, point id = 2, error_u = -6.656374, error_v = -1.063228
camera id = 10, point id = 2, error_u = -1.823586, error_v = -0.291486
camera id = 12, point id = 2, error_u = 1.270888, error_v = 1.687391
camera id = 13, point id = 2, error_u = 0.081617, error_v = -0.115377
camera id = 15, point id = 2, error_u = -0.659610, error_v = -0.797201
camera id = 0, point id = 3, error_u = -0.204159, error_v = -0.374314
camera id = 1, point id = 3, error_u = 0.710929, error_v = 0.578738
camera id = 2, point id = 3, error_u = 1.457103, error_v = 1.175455
camera id = 6, point id = 3, error_u = 0.210166, error_v = -0.620734
camera id = 7, point id = 3, error_u = 2.590960, error_v = -0.846099
camera id = 8, point id = 3, error_u = 1.447387, error_v = 1.194509
camera id = 9, point id = 3, error_u = -6.936932, error_v = -0.942000
camera id = 10, point id = 3, error_u = -1.857036, error_v = -0.214090
camera id = 12, point id = 3, error_u = 1.306408, error_v = 1.696154
camera id = 15, point id = 3, error_u = -0.391353, error_v = -0.960191
camera id = 0, point id = 4, error_u = 1.019744, error_v = 0.838185
camera id = 1, point id = 4, error_u = 0.937599, error_v = 1.876709
camera id = 2, point id = 4, error_u = 2.164002, error_v = 3.315995
camera id = 3, point id = 4, error_u = -9.874586, error_v = 2.092921
camera id = 5, point id = 4, error_u = 0.438856, error_v = 0.102362
camera id = 6, point id = 4, error_u = -0.191066, error_v = 1.655039
camera id = 8, point id = 4, error_u = 1.621234, error_v = 1.245638
camera id = 9, point id = 4, error_u = -3.721459, error_v = -1.228199
camera id = 11, point id = 4, error_u = -0.011212, error_v = 0.143744
camera id = 13, point id = 4, error_u = 0.466499, error_v = 0.107180
camera id = 14, point id = 4, error_u = 0.103391, error_v = -0.060412
camera id = 0, point id = 5, error_u = 1.948799, error_v = 0.897124
camera id = 1, point id = 5, error_u = 0.251930, error_v = 1.683692
camera id = 3, point id = 5, error_u = -3.803473, error_v = -4.643523
camera id = 4, point id = 5, error_u = 2.281665, error_v = -2.026679
camera id = 5, point id = 5, error_u = 1.172683, error_v = 1.599386
camera id = 6, point id = 5, error_u = 1.738675, error_v = 2.713145
camera id = 7, point id = 5, error_u = 6.069665, error_v = 2.588047
camera id = 8, point id = 5, error_u = 1.954440, error_v = 3.411265
camera id = 9, point id = 5, error_u = -5.861155, error_v = -0.034580
camera id = 10, point id = 5, error_u = -2.679224, error_v = -2.036905
camera id = 13, point id = 5, error_u = 2.095504, error_v = 0.679378
camera id = 15, point id = 5, error_u = 0.346277, error_v = 0.349810
successful step! iteration = 61, error before = 291.853432, error next = 291.528015, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.535723, error_v = 0.724185
camera id = 1, point id = 0, error_u = -2.406687, error_v = 1.596929
camera id = 2, point id = 0, error_u = 1.213059, error_v = 2.979951
camera id = 7, point id = 0, error_u = 4.358639, error_v = 5.650504
camera id = 12, point id = 0, error_u = 1.895140, error_v = 1.291204
camera id = 13, point id = 0, error_u = -0.306308, error_v = 0.832840
camera id = 0, point id = 1, error_u = -0.040746, error_v = 0.310954
camera id = 1, point id = 1, error_u = -2.521663, error_v = 0.425841
camera id = 10, point id = 1, error_u = -6.113566, error_v = -1.218041
camera id = 0, point id = 2, error_u = -0.311604, error_v = -0.304037
camera id = 1, point id = 2, error_u = 0.375736, error_v = 0.685351
camera id = 2, point id = 2, error_u = 1.795049, error_v = 1.187898
camera id = 6, point id = 2, error_u = 0.329194, error_v = -0.838435
camera id = 7, point id = 2, error_u = 2.822649, error_v = -0.859058
camera id = 9, point id = 2, error_u = -6.444596, error_v = -0.882447
camera id = 10, point id = 2, error_u = -2.019596, error_v = -0.457408
camera id = 12, point id = 2, error_u = 1.268328, error_v = 1.655264
camera id = 13, point id = 2, error_u = 0.049414, error_v = -0.111610
camera id = 15, point id = 2, error_u = -0.731137, error_v = -0.855531
camera id = 0, point id = 3, error_u = -0.193672, error_v = -0.367965
camera id = 1, point id = 3, error_u = 0.523684, error_v = 0.602752
camera id = 2, point id = 3, error_u = 1.584610, error_v = 1.285523
camera id = 6, point id = 3, error_u = 0.209184, error_v = -0.660097
camera id = 7, point id = 3, error_u = 2.781603, error_v = -0.761964
camera id = 8, point id = 3, error_u = 1.429076, error_v = 1.190487
camera id = 9, point id = 3, error_u = -6.724057, error_v = -0.760947
camera id = 10, point id = 3, error_u = -2.050423, error_v = -0.374994
camera id = 12, point id = 3, error_u = 1.305428, error_v = 1.664690
camera id = 15, point id = 3, error_u = -0.460949, error_v = -1.015531
camera id = 0, point id = 4, error_u = 1.056601, error_v = 0.814556
camera id = 1, point id = 4, error_u = 0.833103, error_v = 1.811805
camera id = 2, point id = 4, error_u = 2.287003, error_v = 3.372462
camera id = 3, point id = 4, error_u = -9.843164, error_v = 2.193655
camera id = 5, point id = 4, error_u = 0.423217, error_v = 0.058451
camera id = 6, point id = 4, error_u = -0.127162, error_v = 1.579761
camera id = 8, point id = 4, error_u = 1.630434, error_v = 1.213658
camera id = 9, point id = 4, error_u = -3.559957, error_v = -1.084666
camera id = 11, point id = 4, error_u = 0.033640, error_v = 0.115546
camera id = 13, point id = 4, error_u = 0.472283, error_v = 0.083894
camera id = 14, point id = 4, error_u = 0.153816, error_v = -0.089644
camera id = 0, point id = 5, error_u = 2.009259, error_v = 0.929089
camera id = 1, point id = 5, error_u = 0.164544, error_v = 1.701301
camera id = 3, point id = 5, error_u = -3.484080, error_v = -4.376368
camera id = 4, point id = 5, error_u = 2.377592, error_v = -2.029923
camera id = 5, point id = 5, error_u = 1.200940, error_v = 1.650777
camera id = 6, point id = 5, error_u = 1.906827, error_v = 2.745633
camera id = 7, point id = 5, error_u = 6.324200, error_v = 2.704126
camera id = 8, point id = 5, error_u = 2.061079, error_v = 3.480784
camera id = 9, point id = 5, error_u = -5.506751, error_v = 0.378480
camera id = 10, point id = 5, error_u = -2.716320, error_v = -2.154438
camera id = 13, point id = 5, error_u = 2.154243, error_v = 0.723760
camera id = 15, point id = 5, error_u = 0.368327, error_v = 0.337173
unsuccessful step! iteration = 62, error before = 291.528015, error next = 291.871257, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.535723, error_v = 0.724185
camera id = 1, point id = 0, error_u = -2.406687, error_v = 1.596929
camera id = 2, point id = 0, error_u = 1.213059, error_v = 2.979951
camera id = 7, point id = 0, error_u = 4.358639, error_v = 5.650504
camera id = 12, point id = 0, error_u = 1.895140, error_v = 1.291204
camera id = 13, point id = 0, error_u = -0.306308, error_v = 0.832840
camera id = 0, point id = 1, error_u = -0.040746, error_v = 0.310954
camera id = 1, point id = 1, error_u = -2.521663, error_v = 0.425841
camera id = 10, point id = 1, error_u = -6.113566, error_v = -1.218041
camera id = 0, point id = 2, error_u = -0.311604, error_v = -0.304037
camera id = 1, point id = 2, error_u = 0.375736, error_v = 0.685351
camera id = 2, point id = 2, error_u = 1.795049, error_v = 1.187898
camera id = 6, point id = 2, error_u = 0.329194, error_v = -0.838435
camera id = 7, point id = 2, error_u = 2.822649, error_v = -0.859058
camera id = 9, point id = 2, error_u = -6.444596, error_v = -0.882447
camera id = 10, point id = 2, error_u = -2.019596, error_v = -0.457408
camera id = 12, point id = 2, error_u = 1.268328, error_v = 1.655264
camera id = 13, point id = 2, error_u = 0.049414, error_v = -0.111610
camera id = 15, point id = 2, error_u = -0.731137, error_v = -0.855531
camera id = 0, point id = 3, error_u = -0.193672, error_v = -0.367965
camera id = 1, point id = 3, error_u = 0.523684, error_v = 0.602752
camera id = 2, point id = 3, error_u = 1.584610, error_v = 1.285523
camera id = 6, point id = 3, error_u = 0.209184, error_v = -0.660097
camera id = 7, point id = 3, error_u = 2.781603, error_v = -0.761964
camera id = 8, point id = 3, error_u = 1.429076, error_v = 1.190487
camera id = 9, point id = 3, error_u = -6.724057, error_v = -0.760947
camera id = 10, point id = 3, error_u = -2.050423, error_v = -0.374994
camera id = 12, point id = 3, error_u = 1.305428, error_v = 1.664690
camera id = 15, point id = 3, error_u = -0.460949, error_v = -1.015531
camera id = 0, point id = 4, error_u = 1.056601, error_v = 0.814556
camera id = 1, point id = 4, error_u = 0.833103, error_v = 1.811805
camera id = 2, point id = 4, error_u = 2.287003, error_v = 3.372462
camera id = 3, point id = 4, error_u = -9.843164, error_v = 2.193655
camera id = 5, point id = 4, error_u = 0.423217, error_v = 0.058451
camera id = 6, point id = 4, error_u = -0.127162, error_v = 1.579761
camera id = 8, point id = 4, error_u = 1.630434, error_v = 1.213658
camera id = 9, point id = 4, error_u = -3.559957, error_v = -1.084666
camera id = 11, point id = 4, error_u = 0.033640, error_v = 0.115546
camera id = 13, point id = 4, error_u = 0.472283, error_v = 0.083894
camera id = 14, point id = 4, error_u = 0.153816, error_v = -0.089644
camera id = 0, point id = 5, error_u = 2.009259, error_v = 0.929089
camera id = 1, point id = 5, error_u = 0.164544, error_v = 1.701301
camera id = 3, point id = 5, error_u = -3.484080, error_v = -4.376368
camera id = 4, point id = 5, error_u = 2.377592, error_v = -2.029923
camera id = 5, point id = 5, error_u = 1.200940, error_v = 1.650777
camera id = 6, point id = 5, error_u = 1.906827, error_v = 2.745633
camera id = 7, point id = 5, error_u = 6.324200, error_v = 2.704126
camera id = 8, point id = 5, error_u = 2.061079, error_v = 3.480784
camera id = 9, point id = 5, error_u = -5.506751, error_v = 0.378480
camera id = 10, point id = 5, error_u = -2.716320, error_v = -2.154438
camera id = 13, point id = 5, error_u = 2.154243, error_v = 0.723760
camera id = 15, point id = 5, error_u = 0.368327, error_v = 0.337173
successful step! iteration = 63, error before = 291.528015, error next = 291.143927, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.549021, error_v = 0.713674
camera id = 1, point id = 0, error_u = -2.494084, error_v = 1.558756
camera id = 2, point id = 0, error_u = 1.284393, error_v = 3.049392
camera id = 7, point id = 0, error_u = 4.404438, error_v = 5.672559
camera id = 12, point id = 0, error_u = 1.684899, error_v = 1.290894
camera id = 13, point id = 0, error_u = -0.340598, error_v = 0.814699
camera id = 0, point id = 1, error_u = -0.000701, error_v = 0.311165
camera id = 1, point id = 1, error_u = -2.641804, error_v = 0.438704
camera id = 10, point id = 1, error_u = -6.228288, error_v = -1.345609
camera id = 0, point id = 2, error_u = -0.303258, error_v = -0.299335
camera id = 1, point id = 2, error_u = 0.186790, error_v = 0.702951
camera id = 2, point id = 2, error_u = 1.915386, error_v = 1.290292
camera id = 6, point id = 2, error_u = 0.324561, error_v = -0.881495
camera id = 7, point id = 2, error_u = 2.997870, error_v = -0.775794
camera id = 9, point id = 2, error_u = -6.210587, error_v = -0.699615
camera id = 10, point id = 2, error_u = -2.202488, error_v = -0.618998
camera id = 12, point id = 2, error_u = 1.261307, error_v = 1.618259
camera id = 13, point id = 2, error_u = 0.015425, error_v = -0.108979
camera id = 15, point id = 2, error_u = -0.800417, error_v = -0.910941
camera id = 0, point id = 3, error_u = -0.184281, error_v = -0.362103
camera id = 1, point id = 3, error_u = 0.337585, error_v = 0.622786
camera id = 2, point id = 3, error_u = 1.705993, error_v = 1.389581
camera id = 6, point id = 3, error_u = 0.205658, error_v = -0.700719
camera id = 7, point id = 3, error_u = 2.958634, error_v = -0.677948
camera id = 8, point id = 3, error_u = 1.403170, error_v = 1.178319
camera id = 9, point id = 3, error_u = -6.489269, error_v = -0.578197
camera id = 10, point id = 3, error_u = -2.231168, error_v = -0.531929
camera id = 12, point id = 3, error_u = 1.299655, error_v = 1.628099
camera id = 15, point id = 3, error_u = -0.528713, error_v = -1.068247
camera id = 0, point id = 4, error_u = 1.092443, error_v = 0.788289
camera id = 1, point id = 4, error_u = 0.728964, error_v = 1.741141
camera id = 2, point id = 4, error_u = 2.405635, error_v = 3.420959
camera id = 3, point id = 4, error_u = -9.808977, error_v = 2.291254
camera id = 5, point id = 4, error_u = 0.407064, error_v = 0.009670
camera id = 6, point id = 4, error_u = -0.065419, error_v = 1.499794
camera id = 8, point id = 4, error_u = 1.636805, error_v = 1.173570
camera id = 9, point id = 4, error_u = -3.381079, error_v = -0.938253
camera id = 11, point id = 4, error_u = 0.078540, error_v = 0.085265
camera id = 13, point id = 4, error_u = 0.476971, error_v = 0.057568
camera id = 14, point id = 4, error_u = 0.203609, error_v = -0.120651
camera id = 0, point id = 5, error_u = 2.067430, error_v = 0.958532
camera id = 1, point id = 5, error_u = 0.077311, error_v = 1.714293
camera id = 3, point id = 5, error_u = -3.162676, error_v = -4.111224
camera id = 4, point id = 5, error_u = 2.471154, error_v = -2.023085
camera id = 5, point id = 5, error_u = 1.225125, error_v = 1.696976
camera id = 6, point id = 5, error_u = 2.070827, error_v = 2.772913
camera id = 7, point id = 5, error_u = 6.563949, error_v = 2.811419
camera id = 8, point id = 5, error_u = 2.159346, error_v = 3.538875
camera id = 9, point id = 5, error_u = -5.130628, error_v = 0.799144
camera id = 10, point id = 5, error_u = -2.745373, error_v = -2.268007
camera id = 13, point id = 5, error_u = 2.209274, error_v = 0.765378
camera id = 15, point id = 5, error_u = 0.389781, error_v = 0.324334
unsuccessful step! iteration = 64, error before = 291.143927, error next = 291.423125, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.549021, error_v = 0.713674
camera id = 1, point id = 0, error_u = -2.494084, error_v = 1.558756
camera id = 2, point id = 0, error_u = 1.284393, error_v = 3.049392
camera id = 7, point id = 0, error_u = 4.404438, error_v = 5.672559
camera id = 12, point id = 0, error_u = 1.684899, error_v = 1.290894
camera id = 13, point id = 0, error_u = -0.340598, error_v = 0.814699
